q_soc,q_vrc,r,mae,rmse,bias,nis_mean,nis_median,nis_exceed_3_84,nis_exceed_6_63,n_samples,score
1e-08,1e-05,0.0001,0.0012272570974822632,0.0016431116794320432,-0.0005379086980943562,0.020172793795385214,0.007612418079086993,0.0,0.0,93426,1.1441383741478193
1e-06,1e-06,3e-05,0.0004300748589551269,0.001715766291666054,-0.0001289127177525907,0.02360648360703213,0.0019241534775675943,0.0017661036542290156,0.001188106094663156,93426,1.1500413034813508
1e-07,3e-06,0.0001,0.0009199050832603336,0.0017318609660589865,-0.0002503318772998367,0.022927804632122514,0.0043570065863348904,0.0014878085329565645,0.000813478046796395,93426,1.151815674287051
1e-06,1e-07,3e-05,0.0004518101205496289,0.0017623008685870203,-0.0001293652772012663,0.02552898266942078,0.0023436740061808462,0.0017982146297604521,0.0013058463382784235,93426,1.15290605784244
5e-07,3e-06,0.0001,0.0005925496295286877,0.001688793132509438,-0.00017804892920197018,0.01586527051035172,0.0014522231969029851,0.001370068289341297,0.000727848778712564,93426,1.1544269256639754
1e-06,3e-06,0.0001,0.0005148428503521462,0.001701737810151422,-0.00015752758671476092,0.012701395864583187,0.0009900436633668022,0.0011452914606212403,0.0004281463404191553,93426,1.1584731772212886
5e-07,1e-06,0.0001,0.0006129906715916789,0.001791211210574066,-0.00017947559989884724,0.018159867231976427,0.0016525474352856607,0.0014985121914670434,0.0008884036563697471,93426,1.1625989135775334
1e-06,1e-05,0.0003,0.0006603208691118708,0.0016854577391944585,-0.0002053596154867847,0.0058892692768406614,0.0006190986067962306,0.0,0.0,93426,1.1626565046426052
5e-07,1e-05,0.0003,0.0007996815594032647,0.0017022816220414081,-0.0002431233600128294,0.0068882616239092425,0.0009967270164501596,0.0,0.0,93426,1.1633399005802316
1e-06,1e-06,0.0001,0.0005339797066740527,0.0017715015964097935,-0.0001583918331500886,0.013980239675886581,0.0011419334237109063,0.0012309207287050715,0.000631515852118254,93426,1.1644168961815637
1e-07,1e-06,0.0001,0.0009676610369549324,0.0019358793836826485,-0.00025512366867277866,0.029608879084995765,0.0049410131054222735,0.0017553999957185366,0.0011559951191317192,93426,1.16601275440026
5e-07,1e-07,0.0001,0.0006317918664327758,0.0018458565833461694,-0.00017970560468785207,0.01951649963284396,0.0018304728718856159,0.00153062316699848,0.000995440241474536,93426,1.1668299105267468
1e-06,1e-07,0.0001,0.00055024716840397,0.001807422018930267,-0.00015853033783356027,0.014715677575912795,0.0012654293901047508,0.0013058463382784235,0.0006850341446706485,93426,1.1673644816309239
1e-07,1e-07,0.0001,0.0009987418699474587,0.002061349774141014,-0.00025730148805628574,0.03425621435726832,0.0053575373236490614,0.0018196219467814098,0.001370068289341297,93426,1.1741586423195651
1e-06,3e-06,0.0003,0.0006851704081572658,0.0018289030926328912,-0.00020702752468426084,0.007093124081150579,0.0007053128464508336,0.000181962194678141,0.0,93426,1.1758881662794776
1e-06,3e-05,0.001,0.0009493539468582433,0.0018046439995822213,-0.0003021650588951038,0.002510905619877451,0.00043779762841223736,0.0,0.0,93426,1.1779534943383447
1e-08,3e-06,0.0001,0.001620497987357112,0.002211380450602332,-0.0004975652790360118,0.04189748203557312,0.014678301783976382,0.0009740329244535783,1.0703658510478882e-05,93426,1.1797382831453975
1e-07,1e-05,0.0003,0.0012489735752352635,0.001900913295869309,-0.0003751600611685659,0.00995270150035446,0.002817924120297054,0.0,0.0,93426,1.1801386280865764
1e-06,1e-06,0.0003,0.0006984937636461972,0.0018785069895833745,-0.00020714355769497805,0.00755107911788323,0.000755834011555354,0.00038533170637723973,0.0,93426,1.1804922856936428
5e-07,3e-06,0.0003,0.0008351798320241427,0.0018946222927667127,-0.0002454008880745874,0.008795767025386899,0.0011262597727353754,0.0004067390233981975,0.0,93426,1.1808698317629835
1e-06,1e-07,0.0003,0.0007075739882402853,0.001903141577243225,-0.00020701431881455285,0.007791168551918862,0.0007853396712790728,0.0004067390233981975,0.0,93426,1.1827263586841028
5e-07,1e-06,0.0003,0.000851079236561187,0.001965272797458487,-0.0002455959280727507,0.009572940411479625,0.00119854342446462,0.0005779975595658596,0.0,93426,1.187243338114152
5e-07,3e-05,0.001,0.0011594704704129077,0.0019134168771442776,-0.0003739276283908111,0.0029921817114668113,0.0006955853060780757,0.0,0.0,93426,1.188349506002961
1e-09,3e-05,0.0001,0.0015210989204713676,0.002171607064118489,-0.00111353855904735,0.028176888587640624,0.007084492961661762,0.0,0.0,93426,1.1889838178242083
5e-07,1e-07,0.0003,0.000861582416810392,0.002001205383536516,-0.0002453812345120771,0.009991262003630869,0.0012410657445518706,0.0006636268276496907,0.0,93426,1.1904610897638457
1e-08,3e-05,0.0003,0.0015524737436819701,0.002020258908625204,-0.0009233913809739674,0.010209515797279384,0.004442667221779377,0.0,0.0,93426,1.191816375065241
1e-06,1e-05,0.001,0.0010009064486311958,0.002016599107492428,-0.0003039478634564238,0.0032458715708169627,0.0004986044892560453,0.0,0.0,93426,1.1984140391784257
